"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Canada,11862.755,13269.808,13481.384,14224.769,15460.587,16552.087,17075.347,17983.107,19181.534,20052.26,20529.995,20517.188,20919.697,21733.519,22948.032,23808.51,24398.047,25623.086,26690.736,28232.099,30077.518,31003.774,32081.282,32995.763,34604.971,36488.719,38218.881,39669.53,40404.68,39019.001,40261.543,41962.427,43035.423,44315.275,45914.79,46266.588,46699.042,48384.579,50068.12,50584.055,48630.152,55806.845,61040.881,62266.066,62765.568,64565.675,66605.848,68604.482,70396.587,72005.614
Central African Republic,513.619,616.366,615.56,586.685,652.451,679.626,718.442,721.069,746.783,785.223,800.438,795.613,749.493,734.299,818.324,838.739,780.998,804.657,818.374,830.876,797.053,817.899,829.652,807.449,810.631,841.296,890.047,932.855,955.083,994.526,1061.681,1111.225,1177.3,756.424,773.422,813.386,844.724,883.811,929.349,1010.155,1093.064,1158.698,1250.608,1291.253,1296.324,1313.793,1343.093,1373.479,1402.135,1431.599
Chad,498.439,476.26,520.985,611.369,649.886,703.809,738.795,760.711,820.168,841.23,872.063,964.007,977.853,949.325,990.115,970.258,975.414,1013.049,1058.063,1028.195,1004.551,1104.31,1170.673,1317.71,1741.168,1875.237,1897.773,1957.354,2007.895,2011.266,2174.945,2173.874,2289.539,2378.82,2484.955,2462.181,2256.135,2181.739,2325.477,2462.353,2240.207,2422.415,2611.735,2757.762,2832.345,2909.915,2990.126,3059.706,3131.275,3201.637
Chile,3479.431,3979.135,3592.235,3570.9,3856.52,3994.562,4227.811,4538.364,4955.684,5601.557,5926.103,6485.001,7204.35,7737.28,8174.067,8958.564,9443.572,10178.485,10585.6,10573.653,11216.877,11696.47,12124.575,12812.965,13890.975,15011.64,16245.759,17367.617,18175.132,17886.393,18957.807,20326.607,21740.976,22624.125,23199.347,23673.888,24055.811,24479.457,25496.434,25733.104,25236.623,28776.709,31224.659,32204.174,33574.404,34788.945,36100.877,37437.82,38808.731,40232.524
"China, People's Republic of",274.623,311.621,355.043,403.419,475.288,548.661,600.133,675.691,765.774,816.88,867.858,965.342,1115.328,1285.465,1467.465,1645.122,1822.365,2004.951,2166.873,2347.032,2583.885,2842.035,3129.014,3489.524,3922.685,4480.004,5177.731,6044.342,6717.527,7361.46,8202.144,9114.835,9939.057,10829.633,11753.562,12632.798,13537.583,14655.355,15915.783,17306.842,18091.31,20333.063,22438.863,24502.814,26309.991,28008.2,29724.832,31388.947,33084.416,34847.535
Colombia,2801.961,3068.549,3218.437,3325.304,3486.777,3734.074,3949.174,4176.832,4407.565,4640.516,4920.131,5101.21,5337.844,5668.204,5979.179,6314.697,6457.384,6706.055,6715.682,6442.216,6680.547,6857.435,7049.433,7377.448,7882.084,8387.622,9118.027,9881.625,10288.044,10355.521,10833.815,11701.609,12262.505,12986.407,13677.285,14074.832,14345.268,14616.787,15481.289,16349.418,15587.65,17724.572,20149.399,20787.614,21436.901,22193.955,23080.582,24059.815,25090.526,26173.535
Comoros,1130.071,1272.798,1372.873,1436.989,1535.609,1584.915,1605.777,1633.965,1727.015,1729.475,1874.342,1772.367,1900.122,1950.236,1871.435,1975.484,1958.764,2036.149,2015.943,2057.805,2043.198,2158.267,2246.214,2289.479,2377.953,2542.974,2522.492,2559.829,2658.416,2705.519,2783.237,2896.349,2979.362,3098.237,3150.057,3147.053,3211.995,3325.504,3256.076,3274.703,3228.773,3363.698,3570.97,3725.593,3860.618,3999.804,4158.377,4330.086,4502.55,4660.688
"Congo, Dem. Rep. of the",985.276,1053.904,1078.356,1100.081,1156.826,1160.646,1200.293,1222.549,1230.922,1222.722,1147.302,1051.245,925.955,788.92,729.26,740.764,719.3,643.049,612.821,586.138,534.609,520.011,527.421,555.725,595.013,652.514,684.577,738.766,782.899,766.921,810.544,861.995,924.244,998.321,1056.049,1098.573,1078.028,1101.363,1142.319,1213.148,1223.361,1446.056,1631.949,1774.336,1842.416,1908.323,1967.307,2039.689,2099.566,2159.95
"Congo, Republic of ",1622.539,1767.879,1864.799,1924.768,1980.473,2028.668,2054.573,2089.968,2558.701,3034.369,3084.071,3206.479,3324.116,3350.369,3279.09,3387.812,3476.258,3429.539,3698.544,3517.734,3869.642,3626.998,3633.606,3620.712,3586.776,3897.197,4178.399,3862.892,4049.206,4369.215,4663.61,4709.541,5130.013,5056.974,5360.943,5095.42,4771.62,4476.994,5636.426,5766.755,4813.316,5707.174,6083.689,6252.157,6403.607,6575.469,6742.542,6909.858,7105.801,7309.462
Costa Rica,4174.002,4333.627,4142.028,4301.713,4678.343,4718.583,4931.649,5148.864,5367.198,5743.062,6023.621,6223.229,6799.154,7263.72,7529.621,7782.55,7818.356,8177.897,8647.548,8923.619,9547.188,9737.003,10050.676,10524.19,11107.53,11732.177,12787.714,14011.001,14741.221,14487.944,15163.128,15951.569,16822.175,17312.577,18011.356,18615.889,19350.081,20279.603,21221.974,22990.944,21694.418,23580.956,26163.154,28226.753,29779.185,31092.158,32474.434,33912.065,35408.261,36958.264
