"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8121.304,7141.541,7488.642,7398.16,6934.126,7775.092,8687.558,9330.741,9515.477,9436.582,9512.953,10068.814,10485.677,11162.742,12084.463,12927.421,13935.79,14855.776,15555.571,15908.058,16683.481,17848.869,18495.197,19062.123,19148.684,18526.195,17524.165,17884.362,18140.301,20028.379,17041.996,18299.769,19778.375,20614.284,21403.829,22104.079,22839.604,23595.361,24375.014,25180.716
Sweden,10639.968,12167.997,13093.339,13880.937,14985.513,15789.646,16539.864,17441.716,18404.364,19477.491,20207.386,20532.63,20689.463,20776.576,21893.951,23212.536,24021.473,25175.719,26519.526,28002.188,29890.608,30887.956,31968.813,33084.054,35253.286,37224.137,39877.655,41958.138,42035.552,40129.301,42611.164,44547.988,44843.979,45700.606,47063.912,49073.646,49972.834,51155.998,52836.996,56777.432,57346.067,62904.072,67922.267,70046.951,71730.789,74143.057,76585.724,79126.368,81732.123,84455.247
Switzerland,18920.953,20945.956,21811.368,22670.901,24141.857,25717.938,26598.018,27516.278,29224.715,31462.551,33577.895,33968.691,34256.467,34688.232,35575.83,36272.395,36878.355,38252.305,39732.877,40786.207,43179.604,44654.313,44964.733,45441.703,47528.104,50071.979,53443.031,56665.96,58652.556,56839.689,58734.087,60428.948,61636.57,63180.914,64938.552,65779.397,67065.649,68481.288,70974.49,74042.073,73212.322,82057.319,89933.408,93054.781,95836.636,98144.794,101007.934,103323.324,106313.57,108746.863
Syria,2072.834,2378.938,2507.588,2562.195,2402.177,2570.925,2417.881,2426.469,2739.199,2587.213,2863.504,3182.508,3581.75,3830.209,4019.565,4216.895,4314.283,4238.804,4418.468,4236.195,4318.787,4457.101,4662.01,4523.967,4816.097,5107.609,5396.814,5715.679,5939.128,6175.748,6374.969,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,1550.783,1492.246,1598.257,1559.531,1480.963,1626.46,1521.363,1471.821,1511.247,1573.388,1552.692,1579.174,1579.731,1615.935,1655.387,1692.011,1716.605,1731.404,1762.196,1799.089,1815.556,1869.415,1907.745,2030.995,2116.906,2281.109,2498.093,2574.927,2778.001,2819.898,2829.328,2879.622,2953.561,3090.075,3229.07,3224.798,3355.49,3486.339,3963.416,4664.053,5131.202,5705.985,6017.083,6123.667,6205.203,6391.587,6418.371,6669.805,6891.561,7121.461
Taiwan Province of China,3291.385,3789.037,4143.411,4625.528,5196.997,5547.902,6247.968,7140.18,7893.31,8828.825,9550.796,10594.252,11625.137,12594.839,13709.812,14781.516,15857.132,16935.655,17694.94,19011.406,20498.705,20547.602,21898.116,23187.556,25371.376,27477.242,29820.101,32609.547,33388.935,32934.697,36683.095,38710.583,40150.159,41744.367,44361.437,45316.623,46642.911,48985.053,50028.962,52449.039,57680.452,64374.927,70875.328,74408.882,79031.076,82614.609,86326.712,90138.93,94091.036,97874.53
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1276.974,1154.419,921.237,814.166,783.51,798.431,833.576,851.365,927.546,1026.848,1116.427,1229.948,1368.606,1475.039,1592.945,1726.277,1857.669,1899.638,2002.467,2146.068,2297.331,2453.253,2604.317,2725.605,2878.625,3072.654,3136.544,3548.583,3759.648,4113.977,4673.073,5147.945,5532.774,5788.797,6062.057,6350.076,6654.143,6975.04
Tanzania,504.965,538.584,557.718,575.345,597.941,625.778,660.29,695.522,729.514,763.045,820.739,837.736,832.915,834.286,838.239,860.763,892.415,917.26,940.761,977.054,1022.915,1080.093,1143.886,1212.38,1305.019,1404.9,1473.627,1595.953,1670.019,1720.61,1799.105,1923.804,1999.961,2107.873,2221.28,2309.645,2418.123,2549.584,2670.909,2927.514,3217.527,3426.876,3731.254,3943.736,4134.116,4332.701,4555.369,4797.669,5052.781,5321.051
Thailand,1598.364,1816.495,1993.635,2147.307,2310.547,2449.596,2589.753,2854.52,3290.2,3775.574,4311.361,4774.786,5280.969,5822.111,6363.349,6954.381,7399.476,7233.626,6675.484,6998.41,7398.125,7753.013,8288.516,8992.318,9747.61,10406.882,11192.938,12053.343,12432.009,12359.902,13384.361,13709.31,14905.88,15496.506,15853.177,16435.534,17097.763,18068.566,19405.742,20507.22,19669.331,20759.395,22756.563,23981.207,25211.769,26416.433,27580.626,28850.323,30169.377,31539.444
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1920.843,2251.806,2094.831,2051.077,2075.647,2155.648,2075.545,2291.891,2540.426,2754.077,2985.443,3158.308,3298.186,3384.019,3526.522,3586.77,3685.45,3581.204,3692.807,4698.816,6304.665,7026.952,5885.395,5152.032,4696.56,4862.772,5043.381,5226.262,5416.555,5596.618
Togo,933.772,955.156,942.062,897.801,952.73,987.536,1009.154,978.444,1082.375,1136.641,1212.541,1210.468,1164.499,1004.366,1164.645,1361.028,1282.457,1310.939,1258.477,1271.16,1251.333,1255.555,1289.783,1367.521,1354.495,1297.601,1335.048,1348.559,1389.804,1434.046,1495.95,1573.393,1659.929,1741.355,1824.715,1894.308,1972.312,2037.193,2121.584,2273.8,2416.58,2643.592,2925.819,3125.219,3289.861,3443.82,3613.212,3790.254,3975.791,4170.457
Tonga,723.128,897.509,1069.201,1163.072,1718.295,1881.75,2099.615,2182.518,2169.55,2268.09,2451.316,2667.717,2611.791,2658.714,2776.784,3049.595,3097.858,3126.02,3220.761,3327.596,3516.613,3633.299,3839.784,3901.681,3914.909,3996.044,4005.499,4001.272,4261.574,4054.949,4127.079,4488.443,4704.402,4832.186,5033.171,5173.975,5606.983,5904.632,6097.585,6189.266,6359.446,6571.799,7061.24,7477.138,7810.975,8160.168,8498.277,8816.214,9128.751,9434.931
Trinidad and Tobago,6006.904,6768.617,7339.796,6733.065,6478.056,6324.313,6171.08,5979.18,5899.904,6036.723,6314.137,6687.138,7483.714,7567.476,7966.848,8412.3,9153.056,9993.13,10910.359,11931.599,13010.7,13747.124,14893.86,17210.053,18871.517,20509.215,24027.677,25612.771,26840.975,25577.971,26639.221,26973.522,28760.451,30084.04,31586.198,31446.936,29202.112,28165.203,28846.617,29028.396,26004.521,29965.6,32410.34,33790.98,34987.234,36302.143,37163.42,38497.916,40135.852,41809.337
Tunisia,2067.356,2322.487,2395.774,2545.434,2756.435,2908.801,2814.777,3013.375,3069.631,3214.372,3463.562,3646.996,3941.955,4049.826,4204.186,4330.891,4640.161,4922.284,5161.264,5488.956,5797.046,6098.212,6224.871,6595.876,7139.624,7556.217,8122.419,8814.086,9266.295,9502.653,9845.35,9731.668,10212.049,10514.707,10900.432,10980.21,11081.035,11404.656,11949.406,12592.25,11989.274,12406.364,13521.856,13892.913,14338.485,14717.78,15100.031,15494.027,15882.606,16274.781
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4022.605,3669.099,3020.75,2798.813,2609.455,2317.411,2466.734,2878.92,3451.034,4201.282,4887.348,5775.747,6731.714,7763.934,8781.673,9900.12,11439.317,12065.08,13934.761,15745.27,16886.392,16564.855,17143.117,17359.229,17138.884,17521.385,19068.035,20049.621,19184.739,22393.752,24916.16,25977.504,26881.366,27669.54,28509.334,29383.684,30296.108,31248.541
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2743.518,2698.87,2684.451,2630.937,2712.338,2940.233,3153.334,2956.307,2881.181,3121.465,3009.345,3185.584,3300.941,3651.524,3871.326,4139.16,4265.486,5084.213,5012.867,5212.362,5436.713,6138.265,6479.754,6769.062,7039.429,7297.251,7558.83,7821.49
"Türkiye, Republic of",3563.407,3979.192,4271.503,4546.427,4923.06,5185.114,5544.432,6132.591,6364.856,6513.71,7255.65,7443.691,7937.115,8638.175,8210.282,8846.917,9494.767,10231.923,10516.279,10170.527,10965.417,10426.875,11136.079,11869.997,13221.264,14678.515,15980.724,17032.414,17274.182,16304.41,17611.23,19720.012,20797.729,22635.033,23847.098,25193.996,25924.961,28019.32,28093.447,28264.18,28601.538,31438.507,35293.462,38390.949,40283.307,41913.652,43865.039,45976.918,48333.786,50917.766
Uganda,416.071,459.012,511.745,540.971,526.619,509.592,506.589,520.614,562.514,599.608,639.188,649.483,681.059,719.334,766.009,827.45,869.26,896.258,932.313,988.672,1016.88,1095.437,1152.548,1204.27,1264.418,1387.899,1480.841,1588.384,1727.02,1816.127,1912.865,2034.498,2054.86,2109.8,2206.158,2336.1,2293.203,2419.232,2608.022,2795.634,2760.164,3002.995,3303.637,3460.145,3641.785,3868.299,4274.321,4423.404,4595.536,4812.063
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8747.46,8035.87,7079.341,5619.826,5079.862,4699.376,4676.574,4679.427,4777.596,5222.077,5860.453,6321.708,7115.62,8228.418,8815.275,9837.406,10997.156,11512.654,9873.363,10445.159,11279.174,11537.065,11763.162,11834.095,10819.353,11235.198,11761.234,12795.435,14482.52,15840.806,18207.621,16508.208,18269.595,19603.124,20756.791,21467.316,22631.742,24055.06,25542.254
United Arab Emirates,64395.473,69914.159,64775.955,61670.487,61645.386,58846.561,46444.856,48115.409,40647.079,47046.864,60830.96,61473.217,62158.208,61593.025,63138.357,63574.805,67340.514,70421.325,65399.311,64346.612,74850.186,73391.491,72196.746,75544.597,80251.243,79485.934,73731.065,62979.286,51024.917,47898.168,50646.046,54054.23,55194.613,58053.28,60563.412,64250.663,67100.793,67450.491,74909.869,76416.109,66188.035,67523.155,72296.679,74713.617,77251.442,82000.365,87094.382,92176.625,97293.418,102609.653
United Kingdom,9383.598,10195.708,11051.619,11957.521,12643.321,13541.412,14210.678,15319.75,16679.824,17700.247,18413.659,18703.393,19127.961,19978.979,21047.371,21939.61,22863.383,24340.221,25381.252,26433.151,28108.789,29367.943,30230.49,31654.589,33130.818,34834.455,36513.365,38178.204,38499.787,36688.03,37661.401,38553.511,39601.136,40743.604,42452.372,43453.689,44343.18,46061.349,47107.713,49940.539,47987.784,52673.088,58712.389,60735.429,62573.612,64384.271,66333.695,68301.965,70278.191,72304.999
United States,12552.943,13948.701,14404.994,15513.679,17086.441,18199.32,19034.766,20000.968,21375.999,22814.077,23847.977,24302.776,25392.931,26364.192,27674.021,28671.48,29946.973,31440.087,32833.666,34496.241,36312.782,37101.453,37945.761,39405.354,41641.617,44034.256,46216.853,47943.353,48470.553,47102.428,48586.288,50008.108,51736.738,53363.904,55263.817,57006.926,58179.697,60292.978,63165.278,65561.32,64461.618,71257.958,77979.858,82715.1,86601.28,89677.894,92785.854,96070.128,99467.876,102986.97
Uruguay,4808.529,5326.817,5091.814,4949.646,5021.422,5162.854,5630.013,6076.37,6284.695,6566.758,6795.225,7231.601,7935.446,8289.669,8998.024,8997.441,9613.524,10198.946,10694.519,10560.529,10548.5,10364.157,9725.377,10022.028,10796.754,11926.988,12777.178,13978.529,15250.887,15924.969,17281.042,18461.485,19392,20554.544,21505.257,21701.337,22193.45,22898.651,23611.196,24893.528,24814.452,28225.499,31555.332,32703.997,34440.195,36013.955,37514.77,39003.983,40510.865,42035.299
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2182.161,2133.282,2025.687,2012.749,2044.729,2120.616,2203.063,2296.942,2447.723,2573.754,2685.54,2818.553,3074.725,3352.191,3673.597,4077.169,4461.392,4771.227,5085.358,5365.851,5768.397,6202.69,6634.075,7056.407,7413.922,7744.67,8058.262,8469.366,8372.248,9163.298,10195.541,10992.112,11596.421,12224.486,12889.768,13589.582,14326.898,15104.291
Vanuatu,944.077,1042.358,1091.98,1141.062,1255.608,1259.82,1246.346,1222.673,1210.014,1267.999,1449.465,1514.941,1558.546,1576.52,1678.871,1687.423,1713.77,1782.519,1777.534,1763.515,1867.62,1803.56,1697.57,1764.005,1841.32,1954.846,2136.489,2206.72,2321.81,2356.171,2357.332,2425.718,2439.723,2436.705,2499.427,2474.944,2578.543,2727.789,2806.656,2879.233,2679.955,2667.364,2815.722,2882.803,2878.134,2876.436,2893.23,2920.491,2933.786,2947.174
Venezuela,7947.685,8332.368,8819.177,8034.492,8520.131,8625.214,9222.009,9661.757,10393.414,9075.794,9700.557,10745.459,11388.368,11427.619,11146.894,11575.821,11516.704,12210.037,12140.77,11350.44,11640.053,12103.331,11021.09,10201.204,12195.554,13659.605,15232.895,16756.514,17710.636,16993.128,16695.002,17493.729,18551.879,18850.906,18176.005,16970.969,14169.523,12271.362,10622.181,8114.806,5728.73,6130.16,7268.848,7943.251,8403.841,8740.9,no data,no data,no data,no data
Vietnam,580.243,658.233,741.262,809.567,892.146,953.517,985.401,1012.621,1080.975,1187.17,1241.276,1333.055,1455.904,1583.18,1730.507,1903.867,2086.155,2259.592,2379.903,2491.143,2684.087,2894.591,3106.582,3368.774,3694.651,4060.464,4436.226,4835.432,5157.883,5416.516,5776.431,6281.367,6678.394,7093.364,7598.336,8116.622,8649.319,9317.097,10176.123,11108.123,11668.385,12101.363,13882.599,14981.697,16193.268,17348.929,18592.137,19896.539,21276.169,22708.695
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2523.942,2575.443,2505.516,2762.538,3095.604,3295.333,2989.704,2697.174,2332.552,2638.916,3213.911,3583.044,3551.574,3676.869,3919.051,4171.454,4353.602,4750.391,5010.406,5210.178,5171.468,5292.605,5688.932,5747.277,5850.954,6127.388,5608.467,5333.288,5805.23,5561.553,no data,no data,no data,no data,no data,no data
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1844.576,1950.837,2078.345,2130.533,2236.809,2326.604,2398.417,2492.816,2595.445,2655.074,2802.584,2893.504,2973.178,3063.333,3184.979,3377.201,3488.562,3591.461,3681.822,3734.902,3953.451,3420.688,3305.73,3486.989,3441.784,2432.687,2167.421,2040.665,2050.514,2076.818,1879.653,1903.267,2027.226,2012.953,1996.036,2017.474,2151.689,2284.456,2415.042,2541.98
Zambia,1247.86,1410.108,1408.42,1402.802,1385.843,1404.813,1414.976,1428.853,1569.036,1524.187,1524.162,1518.705,1539.303,1530.193,1314.83,1347.903,1422.252,1463.947,1437.043,1485.707,1535.502,1604.748,1651.851,1746.65,1859.681,1989.758,2138.046,2296.795,2434.52,2581.955,2783.4,2899.324,3074.49,3179.235,3278.362,3298.422,3348.456,3419.715,3468.844,3385.798,3179.265,3526.507,3868.085,4110.186,4190.267,4428.822,4651.068,4871.729,5081.901,5293.01
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2812.986,2828.804,2777.836,2834.765,2664.11,2274.309,2172.226,2056.724,2014.11,1993.349,1688.888,1808.571,2176.304,2512.216,2847.536,2874.793,2919.43,2937.466,2926.183,3070.167,2838.724,3251.507,3499.647,4182.605,4660.594,4965.194,5070.606,5359.007,5586.354,5768.586,5951.595,6140.28
Africa (Region),1743.454,1861.008,1974.016,2024.298,2103.223,2166.149,2193.68,2216.566,2311.142,2409.021,2343.434,2397.051,2377.953,2385.374,2431.706,2489.019,2595.395,2652.03,2722.386,2776.547,2871.846,2991.786,3104.154,3243.657,3438.383,3658.671,3888.454,4126.81,4308.715,4349.459,4541.681,4609.452,4771.271,4894.842,5032.184,5115.267,5140.766,5267.354,5436.77,5655.705,5695.309,6053.573,6598.37,6889.038,7087.323,7337.553,7615.505,7892.677,8188.561,8498.456
Asia and Pacific,1134.675,1282.589,1391.482,1496.583,1618.232,1735.116,1829.517,1958.719,2143.585,2305.34,2480.683,2641.8,2820.704,2980.106,3152.768,3368.991,3594.431,3767.617,3756.117,3923.183,4182.21,4370.984,4576.877,4882.722,5292.284,5767.913,6308.364,6918.893,7299.11,7528.954,8138.172,8707.193,9255.006,9847.443,10451.419,11020.456,11599.872,12354.467,13176.508,13970.181,14124,15646.249,17332.255,18710.916,20060.258,21179.96,22357.875,23553.412,24799.579,26111.955
Australia and New Zealand,10188.9,11429.593,12018.42,12287.509,13387.958,14273.114,14696.178,15509.1,16375.439,17447.759,18088.196,18242.226,18893.377,19945.352,21163.601,22019.04,23035.951,24201.298,25210.508,26423.465,27604.352,28619.699,29932.26,31113.696,32909.581,34529.941,36002.091,37883.394,38683.789,38866.627,39715.129,41014.335,42608.095,43655.983,44964.481,45817.442,46765.123,48035.39,49784.366,52132.744,52368.704,58272.971,63590.814,65451.253,66770.848,68466.403,70351.509,72306.901,74365.856,76529.074
Caribbean,2809.248,3083.955,3235.904,3251.747,3327.637,3384.892,3520.928,3641.337,3720.959,3880.415,4158.577,4251.302,4373.07,4403.443,4378.201,4626.582,4832.485,5006.473,5128.573,5312.904,5515.724,5657.929,5823.189,6177.657,6449.54,6786.129,7319.919,7695.879,7876.243,7704.347,7691.861,7922.231,8151.179,8381.134,8600.569,8622.747,8493.049,8569.293,8669.478,8816.707,8003.578,8844.366,10318.643,11239.166,12445.022,13202.446,14112.712,15330.225,16379.858,17450.25
Central America,2865.81,3095.014,3150.163,3206.12,3329.917,3382.802,3457.183,3613.971,3671.624,3858.599,3993.612,4140.111,4457.325,4716.134,4589.003,4791.775,4954.232,5208.993,5442.728,5626.037,5855.287,6006.153,6186.701,6334.464,6646.25,7114.146,7724.91,8375.164,8781.554,8686.88,9102.41,9632.312,10102.627,10566.228,11109.769,11609.718,12087.803,12666.104,12981.058,13815.098,13143.947,14751.242,16445.732,17527.321,18417.698,19246.503,20154.43,21107.583,22104.899,23148.983
Central Asia and the Caucasus,3563.407,3979.192,4271.503,4546.427,4923.06,5185.114,5544.432,6132.591,6364.856,6513.71,7255.65,7443.691,5561.94,5712.707,5395.348,5640.453,6000.701,6424.766,6614.596,6548.166,7119.335,7089.289,6764.113,7226.734,8003.203,8910.953,9814.314,10673.812,11029.997,10726.178,11529.558,12618.863,13287.612,14256.108,14920.694,15518.081,15830.599,16824.815,17108.456,17740.129,17705.47,19555.299,21696.504,23317.466,29564.918,30783.68,32110.013,33535.798,35020.672,36661.572
East Asia,1267.644,1435.176,1571.768,1707.517,1875.718,2043.508,2171.132,2355.036,2602.551,2801.791,3012.841,3254.288,3465.208,3673.566,3930.689,4218.106,4511.053,4760.78,4861.405,5102.12,5489.245,5796.267,6142.934,6578.14,7156.094,7848.385,8670.417,9649.202,10298.17,10697.856,11703.185,12634.38,13497.745,14453.26,15403.198,16295.462,17190.997,18373.837,19615.13,20929.734,21688.704,24048.832,26450.152,28626.653,30500.486,32266.954,34051.014,35789.752,37565.946,39400.441
Eastern Europe ,5092.976,5369.468,5683.512,6119.317,6482.096,6755.774,7071.667,7390.339,7740.387,8020.459,7756.478,7189.384,9055.364,8583.316,7949.964,8198.639,8239.336,8515.138,8499.8,8904.078,9792.459,10521.642,11211.119,12188.266,13468.431,14727.067,16372.775,18150.704,19429.035,18308.6,19171.793,20367.334,21244.629,21878.999,22512.079,22660.41,23193.362,24386.791,26569.402,29246.159,29870.57,35229.255,38310.254,40847.418,43272.945,45208.479,47029.656,49016.2,51126.25,53313.587
Europe,9829.183,10688.656,11396.123,12048.67,12778.095,13486.107,14098.047,14831.324,15912.241,17036.546,17982.179,18676.587,16127.844,16069.61,16362.26,16889.873,17337.823,18112.225,18699.694,19425.218,20786.143,21832.76,22560.881,23494.772,24934.729,26397.146,28330.777,30223.005,31191.131,29781.728,30839.719,32115.058,32744.97,33413.535,34456.29,35198.18,36050.611,37641.304,39659.388,42759.147,42118.016,47582.42,52509.953,54931.193,57086.257,59023.841,61004.79,63064.939,65191.109,67366.557
Middle East (Region),9497.003,10169.05,9991.379,9911.366,9717.673,9580.061,8946.445,8940.54,8941.72,9147.008,9215.239,10026.153,10515.867,10935.969,10981.832,11266.592,11720.724,12079.731,12308.134,12374.676,13150.53,13365.72,13686.068,13044.131,14279.018,15094.167,15988.441,16793.384,17314.117,17169.275,17921.427,20293.3,20740.763,21022.146,21496.201,21604.299,22416.822,22658.24,24030.512,23431.008,20890.934,23477.948,26020.275,26794.985,27477.635,28557.864,29796.426,30935.38,32004.944,33083.353
North Africa,3172.725,3252.608,3546.983,3723.334,3895.773,4113.458,4115.665,4096.773,4259.462,4495.245,4743.923,4992.881,4998.294,4979.635,5160.472,5173.719,5450.948,5590.423,5887.915,6106.006,6395.737,6676.269,6871.521,7278.765,7693.45,8198.838,8735.626,9306.262,9767.566,9918.052,10319.794,10120.363,10708.434,10848.398,10990.406,11262.727,11522.184,11915.11,12631.527,13223.572,13718.907,14576.798,16139.395,17117.562,17751.883,18501.068,19334.638,20186.714,21130.923,22131.099
North America,11161.561,12476.391,12858.627,13621.348,14878.08,15765.223,16293.599,17054.608,18125.695,19269.305,20144.077,20564.91,21425.009,22225.291,23320.071,23910.595,24972.968,26274.064,27470.195,28801.345,30359.945,30985.681,31623.962,32729.051,34520.967,36401.494,38228.561,39607.815,40037.236,38671.68,39904.287,41114.487,42493.86,43700.66,45201.232,46490.507,47373.998,49024.783,51146.057,52763.513,51487.585,56936.694,62311.023,65840.823,68583.083,70852.936,73222.993,75738.891,78312.718,80961.145
Pacific Islands ,1348.386,1480.14,1537.694,1573.316,1654.623,1677.397,1772.994,1820.339,1892.897,1967.43,1981.717,2086.948,2222.229,2420.211,2618.894,2590.277,2719.947,2579.769,2636.184,2711.352,2653.738,2666.47,2676.338,2826.135,2907.069,3008.473,3111.4,3269.287,3284.001,3357.182,3474.205,3403.761,3439.226,3489.307,3756.062,3844.06,3902.174,3957.118,3885.904,3888.585,3542.309,3460.018,3911.173,4131.209,4321.816,4466.539,4608.787,4741.761,4878.806,5018.776
South America,4532.938,4725.569,4878.936,4824.53,5103.199,5339.032,5720.007,5967.396,6117.437,6186.228,6176.141,6519.927,6758.774,7109.651,7483.552,7776.053,7950.788,8354.475,8428.108,8299.296,8581.938,8720.721,8712.124,8967.008,9756.919,10467.419,11281.173,12240.657,12957.516,12751.533,13618.066,14454.071,14954.761,15569.8,15758.148,15575.506,15179.784,15428.375,16099.082,16326.206,15800.553,17965.73,19920.651,20834.444,21574.572,22413.225,23299.79,24212.448,25154.328,26104.697
South Asia,582.924,659.61,711.752,770.404,812.307,864.672,904.836,943.921,1033.859,1107.04,1184.116,1225.32,1293.999,1353.783,1437.447,1536.459,1645.066,1705.542,1782.91,1908.567,1994.796,2091.752,2160.756,2319.071,2517.794,2750.812,3002.55,3256.062,3388.021,3580.317,3837.519,4060.584,4296.762,4566.787,4897.045,5232.946,5607.67,6004.491,6529.074,6922.333,6815.826,7776.803,8801.846,9655.918,10405.216,11108.574,11906.18,12760.268,13676.614,14661.464
Southeast Asia,1332.23,1520.004,1646.391,1754.478,1862.318,1937.257,2030.812,2137.047,2351.345,2612.53,2864.345,3118.264,3343.773,3623.644,3917.327,4242.649,4549.591,4733.209,4031.91,4164.619,4453.673,4634.083,4878.199,5195.431,5605.784,6032.492,6509.034,7038.32,7438.039,7560.729,8111.232,8572.627,9149.832,9653.245,10160.069,10637.048,11146.403,11832.769,12700.611,13435.109,13072.243,14028.636,15705.868,16777.378,17813.209,18818.864,19888.578,21017.122,22213.98,23481.07
Sub-Saharan Africa (Region) ,1292.105,1421.279,1477.266,1488.688,1540.415,1555.33,1592.043,1630.991,1704.976,1763.677,1776.557,1789.551,1772.313,1787.75,1807.57,1876.749,1949.048,1992.895,2031.847,2056.099,2119.205,2212.242,2315.133,2406.418,2564.792,2735.582,2912.307,3095.584,3231.697,3259.915,3420.869,3552.445,3641.016,3769.978,3914.411,3969.69,3961.136,4034.394,4114.405,4278.475,4249.005,4535.198,4919.079,5109.864,5250.278,5433.446,5636.931,5839.206,6049.39,6267.894
Western Europe,10869.162,11859.918,12659.366,13368.57,14185.789,14995.782,15677.762,16507.269,17749.978,19058.045,20269.41,21229.809,21879.479,22257.832,23276.905,24310.124,25152.912,26313.072,27369.383,28520.163,30224.726,31459.623,32116.034,32919.655,34402.688,35934.005,38016.766,39918.589,40554.166,38859.902,40016.094,41299.651,41701.009,42367.854,43693.024,44851.053,45902.579,47754.423,49598.819,52968.366,51323.352,56781.766,62779.209,65024.721,66902.166,68758.153,70826.168,72885.601,74961.797,77071.55
Western Hemisphere (Region),8021.227,8804.69,9059.349,9430.208,10199.232,10753.973,11174.591,11665.992,12274.62,12894.17,13314.091,13669.261,14218.773,14778.303,15416.289,15840.074,16429.028,17262.421,17898.325,18515.303,19405.023,19774.245,20092.135,20757.868,22002.103,23268.067,24566.789,25706.004,26247.32,25459.799,26458.231,27444.692,28367.097,29250.223,30103.461,30682.915,30968.155,31919.149,33279.859,34217.144,33288.703,37002.45,40632.16,42872.456,44637.848,46173.181,47779.552,49477.246,51218.202,53004.312
ASEAN-5,1498.945,1710.172,1846.166,1963.197,2076.665,2122.114,2230.208,2394.285,2645.505,2947.709,3256.878,3553.876,3808.249,4132.444,4468.022,4836.733,5179,5373.367,4874.485,5022.19,5370.953,5552.378,5823.658,6174.696,6631.919,7096.489,7621.456,8213.465,8656.274,8748.701,9396.437,9875.271,10539.176,11093.47,11630.815,12131.094,12672.432,13421.067,14313.148,15044.748,14422.355,15743.817,17624.797,18803.078,19922.121,21013.858,22169.807,23390.602,24685.511,26061.004
Advanced economies,10426.627,11528.772,12181.924,12977.294,14006.45,14895.098,15599.5,16489.285,17762.954,19057.425,20197.075,21016.8,21661.478,22175.319,23250.995,24115.937,25140.537,26307.055,27178.218,28380.786,30040.28,31012.453,31801.682,32879.334,34646.429,36506.458,38541.561,40395.749,41017.761,39634.38,41135.103,42479.04,43554.404,44754.763,46269.49,47558.775,48633.947,50567.752,52638.22,55079.351,54121.158,59750.501,65597.989,68728.352,71287.805,73642.297,76127.22,78662.037,81251.768,83895.295
Emerging and Developing Asia,529.988,602.353,658.512,718.09,782.518,845.977,898.188,964.626,1070.837,1160.023,1252.18,1346.63,1471.219,1612.01,1768.468,1934.495,2100.932,2230.767,2250.519,2398.745,2575.57,2753.208,2939.821,3204.71,3524.506,3911.45,4372.848,4911.685,5299.644,5666.242,6197.943,6727.617,7251.295,7799.802,8392.603,8964.591,9570.376,10291.935,11156.575,11998.491,12170.136,13594.508,15127.73,16488.176,17681.257,18801.533,19980.406,21175.73,22421.955,23738.633
Emerging and Developing Europe,4541.08,4862.634,5163.348,5534.621,5896.595,6159.985,6486.731,6904.047,7203.096,7426.035,7557.31,7291.569,8883.018,8610.625,7953.833,8043.36,8128.599,8458.506,8461.691,8749.156,9604.57,10093.376,10768.308,11679.214,12950.962,14190.587,15718.661,17303.083,18388.38,17356.653,18298.632,19673.001,20607.304,21487.711,22202.567,22510.049,23046,24371.311,26106.135,28165.433,28783.01,33612.013,36744.987,39451.096,41776.18,43602.602,45402.879,47369.477,49490.217,51724.952
Emerging market and developing economies,1503.054,1643.573,1728.478,1785.446,1885.083,1971.825,2034.654,2122.124,2236.894,2343.129,2441.708,2567.322,3063.204,3163.903,3245.861,3374.816,3542.648,3709.36,3741.322,3869.15,4115.842,4298.13,4473.099,4767.393,5194.855,5645.544,6181.18,6763.834,7172.7,7275.057,7779.851,8301.468,8741.752,9192.972,9643.749,10000.875,10382.081,10920.573,11634.11,12263.461,12207.968,13619.964,15016.841,16076.478,17062.135,17913.242,18813.827,19724.459,20665.265,21649.86
